platform,account_id,platform_campaign_id,platform_campaign_name,crm_referral_source,valid_from,valid_to,notes
google_ads,1776272460,21591783803,Movers | Full,PNW Google Ads,2024-08-16,9999-12-31,Nicolas 2026-09-15: every campaign in the PNW Moving account is the CRM source PNW Google Ads - the account is dedicated to that source.
google_ads,1776272460,21591783806,DM | Movers | Brand,PNW Google Ads,2024-08-16,9999-12-31,Nicolas 2026-09-15 (dedicated account).
google_ads,1776272460,21798970955,PNW Video Campaign,PNW Google Ads,2024-10-10,9999-12-31,Nicolas 2026-09-15 (dedicated account).
google_ads,1776272460,21938945513,DM | Movers | Full  Trial 705,PNW Google Ads,2024-11-22,9999-12-31,Nicolas 2026-09-15 (dedicated account).
google_ads,1776272460,22167609525,Movers | Pierce County,PNW Google Ads,2025-01-28,9999-12-31,Nicolas 2026-09-14 (dedicated account).
google_ads,1776272460,22233442764,Movers | King County,PNW Google Ads,2025-02-14,9999-12-31,Nicolas 2026-09-15 (dedicated account).
microsoft_ads,151891163,485896493,Movers | Bing All Markets,Bing Ads,2024-10-10,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,487618884,Movers | Bing Commercial,Bing Ads Commercial,2026-03-30,9999-12-31,Nicolas 2026-09-15. Commercial is measured by its own campaigns (guide section 5).
microsoft_ads,151891163,485877726,Brand | All Markets,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,487230127,EM | Movers | Black Friday 2025,Bing Ads,2025-11-20,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,485877727,Remarketing | All Markets,Bing Ads,2024-10-05,9999-12-31,Nicolas 2026-09-15: remaining Eco-Movers campaigns are Bing Ads.
microsoft_ads,151891163,485877725,Movers | King County,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,485877728,Movers | Pierce County,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,485877730,Movers | Snohomish County,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,485877731,Movers | Thurston County,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
microsoft_ads,151891163,485877729,Movers | Kitsap County,Bing Ads,2024-10-04,9999-12-31,Nicolas 2026-09-15.
